2026-01-29 14:18:38 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:10:49 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:10:58 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:59 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:59 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:03 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:03 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:03 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:06 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:06 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:06 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:06 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:06 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:09 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:09 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:09 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:09 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:09 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:09 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:11 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:11 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:11:11 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:12 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:12 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:12 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:11:12 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:54 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:15:54 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:15:55 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:55 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:55 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:55 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:55 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:15:56 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:03 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:03 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:03 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:04 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:15 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:15 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:16 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:16 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:16 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:16 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:16 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:17 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:17 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:18 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:18 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:19 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:19 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:19 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:19 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:19 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:19 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:20 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:20 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:25 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:25 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:25 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:26 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:26 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:26 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:26 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:26 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:27 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:27 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:27 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:27 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:31 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:31 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:31 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:31 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:31 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:31 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:32 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:16:32 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:32 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:32 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:33 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:33 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:33 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1h: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:37 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:37 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:37 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:37 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:38 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:16:38 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1h: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:05 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:17:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:17:06 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1h: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 3m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 5m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 30m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:46:49 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 1h: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:28:21 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:28:44 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:29:36 | PAFER.MAIN | INFO     | run_optimizer:68 | ⏳ Phase 1: Bayesian Optimization (30 iterations)...
2026-01-29 16:29:36 | utils.optimization | ERROR    | run_bayesian_opt:94 | ❌ bayesian-optimization not installed. Run: pip install bayesian-optimization==1.4.3
2026-01-29 16:29:36 | PAFER.MAIN | INFO     | run_optimizer:71 | ⏳ Phase 2: Genetic Algorithm (20 generations)...
2026-01-29 16:29:36 | utils.optimization | ERROR    | run_genetic_opt:125 | ❌ deap not installed. Run: pip install deap==1.4.1
2026-01-29 16:29:36 | PAFER.MAIN | WARNING  | run_optimizer:88 | ⚠️  No valid config found during optimization.
2026-01-29 16:29:36 | PAFER.MAIN | INFO     | run_optimizer:95 | ✅ Optimizer shutdown complete.
2026-01-29 16:30:30 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:38:07 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:38:44 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:46:17 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:33 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:33 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:44 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:44 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:45 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:45 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:47 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:47 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:48 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:58 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:46:58 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:47:05 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:47:06 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:47:07 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:47:07 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 16:50:00 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:00 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:00 | __main__ | INFO     | main:133 | PAFER Signal: {'action': 'hold', 'reason': 'No valid PAFER signal'}
2026-01-29 16:50:27 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:27 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:27 | __main__ | INFO     | main:133 | PAFER Signal: {'action': 'sell', 'reason': 'PAFER Bearish Resonance(0/4)+Momentum+Timely', 'confidence': np.float64(0.65), 'stop_loss': np.float64(3261.3973709044085), 'take_profit': np.float64(3231.0928327886563), 'leverage': 20}
2026-01-29 16:50:28 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:28 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:28 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:29 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:29 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:29 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:31 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:31 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:31 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:32 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:32 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:32 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:33 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:33 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:33 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:47 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading ENABLED
2026-01-29 16:50:47 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:47 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:48 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:48 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:48 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:49 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading ENABLED
2026-01-29 16:50:49 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:49 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:50:52 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading ENABLED
2026-01-29 16:50:52 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:50:52 | __main__ | WARNING  | main:114 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:50:52 | __main__ | INFO     | main:133 | PAFER Signal: None
2026-01-29 16:53:14 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:53:14 | __main__ | WARNING  | _render_live_page:119 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:53:20 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:53:20 | __main__ | WARNING  | _render_live_page:119 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 16:56:19 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 16:56:19 | __main__ | WARNING  | _render_live_page:119 | Kline fetch failed: module 'ccxt' has no attribute 'huobipro'. Using simulation.
2026-01-29 17:02:19 | core.exchange.realtime_engine | INFO     | connect:35 | ✅ WebSocket connected to Huobi public feed
2026-01-29 17:02:19 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:20 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 17:02:24 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:29 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:34 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:36 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 17:02:39 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:40 | core.exchange.realtime_engine | ERROR    | _on_error:83 | WebSocket error: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2026-01-29 17:02:40 | core.exchange.realtime_engine | WARNING  | _on_close:87 | WebSocket closed
2026-01-29 17:02:44 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:49 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:54 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:02:59 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:03:04 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
2026-01-29 17:03:09 | core.exchange.realtime_engine | WARNING  | poll_loop:125 | DB poll error: 'DBManager' object has no attribute '_get_connection'
